Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield
3054 Schüpfen,47.039854,7.3755017,10.196691432677277,6.348176690044235,14.447791287672688,7.469598922400036,0.25,9.710487605584726,29.59953008315805,0.2997383672405279,27232.382400486877,27321.51811726185
3076 Worb,46.9302365,7.5662725,9.841753279320685,6.042694704455156,14.073994257084648,4.185381046137592,0.25,8.004149733728497,27.063786321987376,0.3017506042259827,27483.902656575126,25399.710470303315
3114 Wichtrach,46.8443901,7.5743172,9.805470896408876,6.108558664607284,13.970475974503358,4.3216357921526125,0.25,7.735851162736019,26.668607307706083,0.3352705491942163,30328.038246460223,28132.641693710597
3177 Laupen,46.906378100000005,7.2400154,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814753,27.37771789662797,0.2893695855827622,25545.72826471631,24935.610286639137
3210 Kerzers,46.97290280000001,7.1928124,10.23081348657302,6.331609469138492,14.421742519668706,4.978091373448932,0.2672176308539944,9.715267064934183,30.1257859209378,0.2411671809182413,21832.24919796816,21625.318517054096
3292 Busswil b. Büren,47.0993634,7.3221402,10.196691432677277,6.3481766900442365,14.447791287672688,7.469598922400036,0.25,9.710487605584726,29.59953008315805,0.2823118259974413,25815.619634495022,25546.5296127659
3360 Herzogenbuchsee,47.1894169,7.7063292,10.131795321845216,6.395938574268065,14.310900777523344,4.020526619867913,0.25,7.633985585839483,26.48080877171469,0.2250750588470124,21194.45463438577,19332.179376989025
3421 Lyssach,47.0661146,7.5818154,10.025551162218656,6.093019800442433,14.428937034840072,4.185381046137592,0.25,7.502363139208445,26.053270873515206,0.2982175080132817,27275.950945389883,25152.226594212454
3423 Ersigen,47.0939692,7.6003717,10.025551162218656,6.093019800442433,14.428937034840072,4.185381046137592,0.25,7.502363139208445,26.053270873515206,0.3018055326026236,27567.65424845695,24826.218439770313
3661 Uetendorf,46.7740609,7.5796278,9.873433637302403,6.09225424162848,14.115234236151418,4.3216357921526125,0.25,7.036265844526515,25.333466140271145,0.2377634016382372,22472.151352894085,19450.10115842267
4242 Laufen,47.41995210000001,7.5006735,11.229003520736509,6.964965925442073,15.950025880068369,2.343541059212652,1.535635284047455,8.028325595911634,27.6600963473166,0.2182409337563326,19546.47675596231,18150.311771699813
4460 Gelterkinden,47.4642264,7.8555368,11.263054119174567,7.1777664195394495,15.831806430358233,2.4650961962930373,1.070104906166559,7.161504400239546,25.570936604547214,0.2443087999336748,22326.461252874866,21370.838954797135
4538 Oberbipp,47.259886,7.6626583,10.976470276799311,6.849967881211126,15.540941171149829,2.3542353677504138,1.070104906166559,7.038269531617988,25.428397784882875,0.2475773875111865,22546.812172405927,21070.7794037348
4800 Zofingen,47.2862833,7.948602699999999,10.60110033671026,6.780735363500526,14.859716598578707,2.635851620337203,2.0044955266188325,8.185627239563788,27.78235505055484,0.2404591919507467,21914.71887958695,19027.60558369126
4917 Melchnau,47.1814972,7.8487757,10.10739793520116,6.317281407070827,14.337521381302563,4.020526619867913,0.25,7.643578265544434,26.71621211834685,0.3157380914759276,28374.379567050928,25509.834885244632
4950 Huttwil,47.112213,7.8491741,9.2449459688988,5.639142446629904,13.26990179562378,4.100907344199206,0.25,8.400803943083146,28.307236629569783,0.2710888816474981,24854.589659938603,22477.952951680334
5074 Eiken,47.5343174,7.9878434,10.919284819353996,6.917778354998745,15.416634973826689,3.3738259748027395,21.41255812291378,7.091215711533198,25.16138337629856,0.2732418332286757,25273.40159552693,22863.110152374382
5610 Wohlen,47.3501938,8.2790485,10.83940514807612,6.979691737774903,15.129079448710856,2.70996015709294,0.3282489257562448,7.203803836561882,26.40489560542952,0.211299954184233,19264.564413382494,17459.977480052912
5742 Kölliken,47.3341488,8.0216498,11.062456451931412,7.151727778695868,15.490734488780303,2.8037686397811257,0.25,6.7692459383216255,25.0441067758752,0.263399158597204,24045.44739596586,21458.702414221796
9494 Schaan (FL),47.1667928,9.5112894,9.625141103805037,5.985632033998225,13.646085911593046,5.095111970363036,191.43425917796355,8.149749991321592,30.46801314432628,0.2423053506103442,22039.435871269012,18888.83213537361
