Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield
1038 Bercher,46.6913831,6.708445700000001,9.721603902004032,6.213657896848922,13.330934167038258,4.78475353896179,0.2672176308539944,9.322373528975367,30.53898345744554,0.2993016735255252,1019.11527597233,1039.449687144868
1242 Satigny,46.2138696,6.0399764,11.070697335949363,6.950110218374996,15.306384516276545,2.2745416874637336,0.0758542895585338,9.917366299561063,31.873583016865847,0.3035038927320224,974.6213344504372,887.9214821235239
1254 Jussy,46.2320439,6.272693,10.26016966600985,6.441906783218356,14.185933648904651,2.454031745549631,0.0758542895585338,10.891765195012802,33.850782917756355,0.2850713406323292,942.0852020126408,937.2585382903065
1305 Penthalaz,46.6084942,6.524782599999999,9.820097045090275,6.2509673230806415,13.45616780584389,2.3718282930359056,0.1039692267176802,10.941428415258144,32.815479124164774,0.2818626106997419,974.0975075034858,922.289179645466
2900 Porrentruy,47.382472,7.0985409,9.877427438370164,5.840499345422437,14.140944883577513,2.1435949943268136,2.467948717948718,11.48283790225279,34.55640308428423,0.3752347006697545,1367.780073680764,1230.651627058462
3076 Worb,46.9302365,7.5662725,9.841753279320685,6.042694704455156,14.073994257084648,3.242511476077284,0.25,8.004149733728497,27.063786321987376,0.3017506042259827,1162.4959433846188,968.3913694112229
3177 Laupen,46.906378100000005,7.2400154,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814753,27.37771789662797,0.2893695855827622,1013.6179358849096,950.6970491185559
3210 Kerzers,46.97290280000001,7.1928124,10.23081348657302,6.331609469138492,14.421742519668706,4.978091373448932,0.2672176308539944,9.715267064934183,30.1257859209378,0.2411671809182413,861.5334315638195,824.488603410203
3254 Messen,47.0990718,7.4358168,10.095572636757575,6.174519204947601,14.44391854363703,3.242511476077284,0.25,9.374389824348912,28.710644167300103,0.3373346216518924,1360.2576714618344,1138.7408105848233
3315 Bätterkinden,47.1349774,7.536476400000001,10.025551162218656,6.093019800442433,14.428937034840072,3.242511476077284,0.25,7.502363139208445,26.053270873515206,0.2985413602220682,1139.891569043334,994.9278645079575
3940 Steg,46.3165452,7.7506697,5.59417032316545,1.860905716655712,9.726658442272528,1.7736313675044588,10.066947739612235,10.029794517487934,32.925347551251626,0.2772534409481087,871.0369527374191,776.2098048928584
4242 Laufen,47.41995210000001,7.5006735,11.229003520736509,6.964965925442073,15.950025880068369,2.343541059212652,1.535635284047455,8.028325595911634,27.6600963473166,0.2182409337563326,748.9662381359628,692.0002215138292
4460 Gelterkinden,47.4642264,7.8555368,11.263054119174567,7.1777664195394495,15.831806430358233,2.4650961962930373,1.070104906166559,7.161504400239546,25.570936604547214,0.2443087999336748,907.3795264060392,814.7862955012482
4538 Oberbipp,47.259886,7.6626583,10.976470276799311,6.849967881211126,15.540941171149829,2.3542353677504138,1.070104906166559,7.038269531617988,25.428397784882875,0.2475773875111865,871.6223025714535,803.3462013356905
4917 Melchnau,47.1814972,7.8487757,10.10739793520116,6.317281407070827,14.337521381302563,2.9914695018520745,0.25,7.643578265544434,26.71621211834685,0.3157380914759276,1218.573274020543,972.589981561362
5074 Eiken,47.5343174,7.9878434,10.919284819353996,6.917778354998745,15.416634973826689,3.3738259748027395,21.41255812291378,7.091215711533198,25.16138337629856,0.27314382464913,1012.6383138810728,871.6807451542996
5610 Wohlen,47.3501938,8.2790485,10.83940514807612,6.979691737774903,15.129079448710856,2.70996015709294,0.3282489257562448,7.203803836561882,26.40489560542952,0.211299954184233,743.283774848609,665.6804817348628
8207 Schaffhausen,47.7236103,8.6609547,10.35162123772582,5.745909207210616,15.309593789554192,2.3882231556810987,3.934194791389848,9.488528621404017,28.4784697386972,0.2430485331419982,789.2965351310936,782.4616623264012
8460 Marthalen,47.627766900000005,8.6513989,10.468804370762715,6.21565893880496,15.057343533662827,2.4784806590586497,3.934194791389848,9.065490080596437,30.31759374028597,0.2617054233234872,843.7262711241199,864.2870010751972
8560 Märstetten,47.5877643,9.0655244,10.427442167652815,6.634679023605472,14.596880399993154,2.395637218233857,3.674256314320738,9.529733303792982,28.59086027924928,0.2687973047937138,1078.0225700192602,862.1413936088622
