Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield
2733 Pontenet,47.2438668,7.2544484,10.057818179450766,6.358940583997231,14.097451739671165,7.286148705088351,0.25,10.083847966929966,30.25014620923247,0.3211695171071045,27253.05984363194,31490.388273620563
3054 Schüpfen,47.039854,7.3755017,10.196691432677277,6.348176690044235,14.447791287672688,7.41057290467591,0.25,9.710487605584726,29.59953008315805,0.2997383672405279,21901.63307612608,29720.03309125347
3076 Worb,46.9302365,7.5662725,9.841753279320685,6.042694704455156,14.073994257084648,4.365264087136692,0.25,8.004149733728497,27.063786321987376,0.3017506042259827,28534.85564123225,27629.512842067707
3114 Wichtrach,46.8443901,7.5743172,9.805470896408876,6.108558664607284,13.970475974503358,4.501518833151711,0.25,7.735851162736019,26.668607307706083,0.3352705491942163,31492.71341075929,30602.363986253113
3177 Laupen,46.906378100000005,7.2400154,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814753,27.37771789662797,0.2893695855827622,17407.883094737426,27124.670001455506
3292 Busswil b. Büren,47.0993634,7.3221402,10.196691432677277,6.3481766900442365,14.447791287672688,7.41057290467591,0.25,9.710487605584726,29.59953008315805,0.2823118259974413,20747.73051525024,27789.22101617757
3360 Herzogenbuchsee,47.1894169,7.7063292,10.131795321845216,6.395938574268065,14.310900777523344,4.191996190524108,0.25,7.633985585839483,26.48080877171469,0.2250750588470124,19335.275282423085,21029.322321849922
3415 Hasle-Rüegsau,47.0160899,7.656543500000001,9.908026048340112,5.942649957859419,14.346113131934578,4.365264087136692,0.25,7.405293621392278,25.7313464577782,0.2602233561882994,24853.92092115848,23075.615680571595
3421 Lyssach,47.0661146,7.5818154,10.025551162218656,6.093019800442433,14.428937034840072,4.365264087136692,0.25,7.502363139208445,26.053270873515206,0.2982175080132817,27525.97996146759,27360.302728800794
3423 Ersigen,47.0939692,7.6003717,10.025551162218656,6.093019800442433,14.428937034840072,4.365264087136692,0.25,7.502363139208445,26.053270873515206,0.3018055326026236,28646.118163767227,27005.674808915282
3661 Uetendorf,46.7740609,7.5796278,9.873433637302403,6.09225424162848,14.115234236151418,4.501518833151711,0.25,7.036265844526515,25.333466140271145,0.2377634016382372,22631.98266916045,21157.596279078283
4242 Laufen,47.41995210000001,7.5006735,11.229003520736509,6.964965925442073,15.950025880068369,2.343541059212652,1.535635284047455,8.028325595911634,27.6600963473166,0.2182409337563326,20134.174196637323,19743.700337452075
4460 Gelterkinden,47.4642264,7.8555368,11.263054119174567,7.1777664195394495,15.831806430358233,2.4650961962930373,1.070104906166559,7.161504400239546,25.570936604547214,0.2443087999336748,24302.62211546261,23246.952757106646
4538 Oberbipp,47.259886,7.6626583,10.976470276799311,6.849967881211126,15.540941171149829,2.3542353677504138,1.070104906166559,7.038269531617988,25.428397784882875,0.2475773875111865,24289.26740209707,22920.551429455496
4800 Zofingen,47.2862833,7.948602699999999,10.60110033671026,6.780735363500526,14.859716598578707,2.635851620337203,2.0044955266188325,8.185627239563788,27.78235505055484,0.2404591919507467,18268.69233878502,20698.01045342856
4917 Melchnau,47.1814972,7.8487757,10.10739793520116,6.317281407070827,14.337521381302563,4.191996190524108,0.25,7.643578265544434,26.71621211834685,0.3157380914759276,29855.62093252797,27749.304913729455
4950 Huttwil,47.112213,7.8491741,9.2449459688988,5.639142446629904,13.26990179562378,4.243144805213559,0.25,8.400803943083146,28.307236629569783,0.2710888816474981,25498.103428664752,24451.25862627319
5074 Eiken,47.5343174,7.9878434,10.919284819353996,6.917778354998745,15.416634973826689,3.3738259748027395,21.41255812291378,7.091215711533198,25.16138337629856,0.2732418332286757,26815.799601277948,24870.22819819934
5610 Wohlen,47.3501938,8.2790485,10.83940514807612,6.979691737774903,15.129079448710856,2.70996015709294,0.3282489257562448,7.203803836561882,26.40489560542952,0.211299954184233,21303.91709861545,18992.762636855918
5742 Kölliken,47.3341488,8.0216498,11.062456451931412,7.151727778695868,15.490734488780303,2.8037686397811257,0.25,6.7692459383216255,25.0441067758752,0.263399158597204,25139.998994888272,23342.52961745553
