Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield
1242 Satigny,46.2138696,6.0399764,11.070697335949363,6.950110218374996,15.306384516276545,2.2745416874637336,0.0758542895585338,9.917366299561063,31.873583016865847,0.3035038927320224,8709.900504234509,7719.344507566808
1254 Jussy,46.2320439,6.272693,10.26016966600985,6.441906783218356,14.185933648904651,2.454031745549631,0.0758542895585338,10.891765195012802,33.850782917756355,0.2850713406323292,9538.87383070336,8148.26726842821
1784 Courtepin,46.8655678,7.122968099999999,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814752,27.37771789662797,0.2661067457675767,6579.775899871375,8025.537973148033
3076 Worb,46.9302365,7.5662725,9.841753279320685,6.042694704455156,14.073994257084648,3.980400070520424,0.25,8.004149733728497,27.063786321987376,0.3017506042259827,7361.285833667545,8418.927516836095
3177 Laupen,46.906378100000005,7.2400154,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814753,27.37771789662797,0.2893695855827622,7070.486116436186,8265.09797569281
3186 Düdingen,46.849259,7.1879193,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814752,27.37771789662797,0.2574704263117502,6408.073656475009,7772.623696198149
3210 Kerzers,46.97290280000001,7.1928124,10.23081348657302,6.331609469138492,14.421742519668706,4.978091373448932,0.2672176308539944,9.715267064934183,30.1257859209378,0.2411671809182413,5824.757879401912,7167.876552625827
3292 Busswil b. Büren,47.0993634,7.3221402,10.196691432677277,6.3481766900442365,14.447791287672688,7.447920419478573,0.25,9.710487605584726,29.59953008315805,0.2823118259974413,6601.396833730964,8467.591839995277
3315 Bätterkinden,47.1349774,7.536476400000001,10.025551162218656,6.093019800442433,14.428937034840072,3.980400070520424,0.25,7.502363139208445,26.053270873515206,0.2985413602220682,7099.458954749787,8649.628487360147
3360 Herzogenbuchsee,47.1894169,7.7063292,10.131795321845216,6.395938574268065,14.310900777523344,3.7950369071047807,0.25,7.633985585839483,26.48080877171469,0.2250750588470124,5603.710101718008,6407.7981167397365
3423 Ersigen,47.0939692,7.6003717,10.025551162218656,6.093019800442433,14.428937034840072,3.980400070520424,0.25,7.502363139208445,26.053270873515206,0.3018055326026236,7220.271386050916,8228.839214759366
4242 Laufen,47.41995210000001,7.5006735,11.229003520736509,6.964965925442073,15.950025880068369,2.343541059212652,1.535635284047455,8.028325595911634,27.6600963473166,0.2182409337563326,6810.211575485822,6016.05909612925
4460 Gelterkinden,47.4642264,7.8555368,11.263054119174567,7.1777664195394495,15.831806430358233,2.4650961962930373,1.070104906166559,7.161504400239546,25.570936604547214,0.2443087999336748,6453.494968390713,7083.527363226113
4538 Oberbipp,47.259886,7.6626583,10.976470276799311,6.849967881211126,15.540941171149829,2.3542353677504138,1.070104906166559,7.038269531617988,25.428397784882875,0.2475773875111865,7753.201530943526,6984.070339332799
4917 Melchnau,47.1814972,7.8487757,10.10739793520116,6.317281407070827,14.337521381302563,3.7950369071047807,0.25,7.643578265544434,26.71621211834685,0.3157380914759276,7698.681459551791,8455.429093037481
4950 Huttwil,47.112213,7.8491741,9.2449459688988,5.639142446629904,13.26990179562378,3.829772249334445,0.25,8.400803943083146,28.307236629569783,0.2710888816474981,6246.603289684518,7450.488730897287
5074 Eiken,47.5343174,7.9878434,10.919284819353996,6.917778354998745,15.416634973826689,3.3738259748027395,21.41255812291378,7.091215711533198,25.16138337629856,0.2732418332286757,7348.590536843262,7578.152018989562
5610 Wohlen,47.3501938,8.2790485,10.83940514807612,6.979691737774903,15.129079448710856,2.70996015709294,0.3282489257562448,7.203803836561882,26.40489560542952,0.211299954184233,6779.927898235766,5787.242536564262
5742 Kölliken,47.3341488,8.0216498,11.062456451931412,7.151727778695868,15.490734488780303,2.8037686397811257,0.25,6.7692459383216255,25.0441067758752,0.263399158597204,6751.133187027177,7112.650376149412
9494 Schaan (FL),47.1667928,9.5112894,9.625141103805037,5.985632033998225,13.646085911593046,5.095111970363036,191.43425917796355,8.149749991321592,30.46801314432628,0.2423053506103442,6166.976370151921,6260.847296323365
